districtID,districtName,new_category,transaction_count,avg_external_gtv,avg_external_aov,category_diversity,latitude,longitude
488,Cilandak,Japanese Food,6327,9317504768.277216,26070.64190908122,18,-6.279450278631263,106.8029293983926
488,Cilandak,Non-Food Items/ Event,3149,6561092618.101176,21213.22920624917,18,-6.29026390244522,106.79693248158145
488,Cilandak,Others,14579,8367321711.547473,23827.846423273968,18,-6.287825782810892,106.7934689144276
488,Cilandak,Seafood,3448,12657314309.28393,25755.677502192564,18,-6.284478404730278,106.7957727100435
488,Cilandak,Set Meals and Combos,3557,7876482372.187614,16662.47247992439,18,-6.290552555746416,106.79473596114984
488,Cilandak,Snacks and Appetizers,1911,9620456466.4753,25273.505752172696,18,-6.28601524766091,106.79505258794349
488,Cilandak,Steaks and BBQ,7462,12252175200.448643,29816.54986525949,18,-6.289194193422675,106.7958745707478
488,Cilandak,Tea and Beverages,29668,8548756574.226312,27569.62604359935,18,-6.287647263336254,106.79327273349534
488,Cilandak,Thai Food,7956,7048735513.133551,16657.664096506815,18,-6.294776566724485,106.79570372791856
490,Kebayoran Lama,Alcoholic Beverages,687,2197875259.086591,29100.766351675666,18,-6.259748303464337,106.7826927593013
490,Kebayoran Lama,Bakery and Pastries,1382,3827851587.399303,31476.52928016791,18,-6.2642399709985535,106.78229440674384
490,Kebayoran Lama,Breakfast and Egg Dishes,269,2506668054.486194,47926.629367576796,18,-6.263842404646841,106.78234730271376
490,Kebayoran Lama,Cakes and Desserts,707,2378632362.968242,46710.02502750827,18,-6.2571432473833095,106.78375644884018
490,Kebayoran Lama,Chinese Food,965,2146284287.0142076,47564.76896681431,18,-6.2571749569326425,106.78264433806218
490,Kebayoran Lama,Coffee,1534,2745659097.475789,38947.987942577114,18,-6.259246830325945,106.78314513889178
490,Kebayoran Lama,Comfort Food,955,2792932078.9283166,38702.89760667905,18,-6.265456811539267,106.78078980445025
490,Kebayoran Lama,Fried Food,386,2306177915.7155623,28324.906712854434,18,-6.26494017626943,106.78010898518134
490,Kebayoran Lama,Indonesian Traditional Food,330,1425652404.3422658,24342.746007584527,18,-6.278033487575757,106.77964259448484
490,Kebayoran Lama,Japanese Food,1981,3245594293.1300406,35975.73979635058,18,-6.262073331786977,106.78367622665321
490,Kebayoran Lama,Non-Food Items/ Event,821,2409864515.5611014,35635.81474658107,18,-6.26068546545676,106.78319023392204
490,Kebayoran Lama,Others,3160,2251364435.933397,53121.77859580352,18,-6.258185838443039,106.78307047824366
490,Kebayoran Lama,Seafood,817,2885615979.0645356,54823.276325764615,18,-6.264380170807834,106.78260386146877
490,Kebayoran Lama,Set Meals and Combos,550,1936911967.0746748,29046.378255820182,18,-6.259977277345455,106.77958875509091
490,Kebayoran Lama,Snacks and Appetizers,372,1781988682.3415077,34875.97692155224,18,-6.26062421438172,106.78285488967741
490,Kebayoran Lama,Steaks and BBQ,1621,2594779638.882929,42776.93527018091,18,-6.261203306403455,106.78313423609501
490,Kebayoran Lama,Tea and Beverages,6682,2735932896.9002943,41546.76936500087,18,-6.262039773204131,106.78257588275066
490,Kebayoran Lama,Thai Food,1878,2535803860.607571,47630.22851259999,18,-6.26427424686901,106.78073275792865
491,Kebayoran Baru,Alcoholic Beverages,9982,16221209264.363237,70082.36378446934,18,-6.234916930529954,106.8029161468924
491,Kebayoran Baru,Bakery and Pastries,15880,14109485304.155384,42693.49838860556,18,-6.232109040810453,106.80660432771725
491,Kebayoran Baru,Breakfast and Egg Dishes,4122,13990466272.09358,59781.19486286454,18,-6.238473309687046,106.80138462048278
491,Kebayoran Baru,Cakes and Desserts,3955,20650030004.329422,68192.8733545771,18,-6.233469606242731,106.79936808799494
491,Kebayoran Baru,Chinese Food,7207,35572327108.13973,58839.52682320917,18,-6.228859022039684,106.80077378653809
491,Kebayoran Baru,Coffee,22232,12313326045.326519,44601.16396300748,18,-6.240259617365509,106.80252938640248
491,Kebayoran Baru,Comfort Food,14544,14707664729.223083,57273.54046705946,18,-6.238851489834295,106.80132688577557
491,Kebayoran Baru,Fried Food,3208,12438992088.990788,37237.27489056476,18,-6.241101871262469,106.8012322414682
491,Kebayoran Baru,Indonesian Traditional Food,1533,23578905969.60884,44701.18295854325,18,-6.241591699067188,106.79927229776908
491,Kebayoran Baru,Japanese Food,26121,13031322132.846848,39897.20817381553,18,-6.232574210505341,106.80222885727193
491,Kebayoran Baru,Non-Food Items/ Event,7096,13665621801.445906,39466.86446538932,18,-6.236038762263247,106.80110020226043
491,Kebayoran Baru,Others,20794,12554926641.966305,65352.821838859345,18,-6.237528983287487,106.80047874872993
491,Kebayoran Baru,Seafood,6671,24123899461.840935,69220.84513841997,18,-6.231509408731824,106.80218879278519
491,Kebayoran Baru,Set Meals and Combos,4280,13263298862.069672,25180.154069872824,18,-6.241001634782711,106.80017100835747
491,Kebayoran Baru,Snacks and Appetizers,3349,19365635839.951946,51185.80408396613,18,-6.233522591603464,106.80323684607048
491,Kebayoran Baru,Steaks and BBQ,14031,15486527436.667364,52302.42329201673,18,-6.2371390433946265,106.79981244602666
491,Kebayoran Baru,Tea and Beverages,67276,15325544002.97871,53886.25140876619,18,-6.236447271223913,106.80201317066472
491,Kebayoran Baru,Thai Food,12338,19714734623.561928,44031.482867464656,18,-6.2421838085621655,106.80097417192981
